timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-328;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;73;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-329;text;true;;483;155;3;3;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;76;0;1
1,71978E+12;67;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-330;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;67;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-331;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;72;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-332;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;0
1,71978E+12;75;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-333;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;75;0;1
1,71978E+12;66;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-334;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;66;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-335;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;73;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-336;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;72;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-337;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-338;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;73;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-339;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;72;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-340;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;71;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-341;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;76;0;1
1,71978E+12;68;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-342;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;68;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-343;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;70;0;1
1,71978E+12;77;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-344;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;77;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-345;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;69;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-346;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;73;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-347;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;70;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-348;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;73;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-349;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;71;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-350;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;71;0;1
1,71978E+12;67;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-351;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;67;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-352;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;69;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-353;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;70;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-354;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;73;0;1
1,71978E+12;68;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-355;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;68;0;0
1,71978E+12;69;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-356;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;69;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-357;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-358;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;71;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-359;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;69;0;1
1,71978E+12;77;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-360;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;77;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-361;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;72;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-362;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;71;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-363;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;72;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-364;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;72;0;1
1,71978E+12;75;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-365;text;true;;485;155;1;1;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;75;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-366;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;71;0;1
